Refrigerant,Molecular weight,Predicted crit temp /K,Acentric factor,No. of C,No. of F,No. of C=C,Temp /K,Liquid spec vol /[m^3/mol],Vapour spec vol /[m^3/mol],Vapour pressure /Pa,Dipole moment,Polarisability,Predicted crit pressure /Pa
R 1123,82.02,346.7339612,0.238,2,3,1,209.9474803,6.03E-05,0.026640765,64360.14514,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,211.5782254,6.05E-05,0.024511693,70401.14129,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,213.1993171,6.07E-05,0.022596903,76846.06857,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,214.8108126,6.09E-05,0.020870978,83709.40144,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,216.4127685,6.12E-05,0.019311922,91005.46317,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,218.0052414,6.14E-05,0.017900652,98748.40311,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,219.5882874,6.16E-05,0.016620568,106952.1753,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,221.1619624,6.18E-05,0.015457196,115630.5188,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,222.7263217,6.20E-05,0.014397883,124796.9386,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,224.2814206,6.23E-05,0.013431544,134464.6895,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,225.8273139,6.25E-05,0.012548442,144646.7599,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,227.364056,6.27E-05,0.01174001,155355.8576,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,228.8917012,6.29E-05,0.01099869,166604.3976,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,230.4103032,6.32E-05,0.010317802,178404.4898,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,231.9199156,6.34E-05,0.009691429,190767.9297,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,233.4205917,6.36E-05,0.009114321,203706.1892,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,234.9123842,6.38E-05,0.00858181,217230.4089,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,236.3953459,6.41E-05,0.008089736,231351.3918,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,237.869529,6.43E-05,0.007634389,246079.5981,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,239.3349854,6.46E-05,0.007212449,261425.141,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,240.7917669,6.48E-05,0.006820946,277397.7832,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,242.2399247,6.50E-05,0.006457212,294006.9355,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,243.6795099,6.53E-05,0.006118853,311261.6546,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,245.1105733,6.55E-05,0.005803712,329170.6435,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,246.5331653,6.58E-05,0.005509845,347742.2518,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,247.9473361,6.60E-05,0.005235498,366984.4767,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,249.3531354,6.63E-05,0.004979084,386904.9653,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,250.7506129,6.65E-05,0.004739167,407511.0171,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,252.1398179,6.68E-05,0.004514444,428809.5875,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,253.5207992,6.70E-05,0.004303731,450807.2914,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,254.8936056,6.73E-05,0.004105954,473510.4079,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,256.2582855,6.76E-05,0.003920133,496924.8852,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,257.614887,6.78E-05,0.003745377,521056.346,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,258.9634578,6.81E-05,0.003580869,545910.0933,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,260.3040456,6.84E-05,0.003425866,571491.1166,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,261.6366976,6.87E-05,0.003279686,597804.0988,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,262.9614608,6.89E-05,0.003141705,624853.4224,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,264.2783818,6.92E-05,0.003011352,652643.1774,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,265.5875071,6.95E-05,0.002888099,681177.1686,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,266.8888828,6.98E-05,0.002771466,710458.9229,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,268.1825549,7.01E-05,0.002661006,740491.6974,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,269.4685689,7.03E-05,0.002556311,771278.4879,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,270.7469701,7.06E-05,0.002457004,802822.0362,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,272.0178036,7.09E-05,0.002362735,835124.8394,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,273.2811143,7.12E-05,0.002273184,868189.1577,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,274.5369466,7.15E-05,0.002188052,902017.0234,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,275.7853448,7.18E-05,0.002107064,936610.2494,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,277.0263529,7.22E-05,0.002029964,971970.438,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,278.2600147,7.25E-05,0.001956517,1008098.99,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,279.4863737,7.28E-05,0.001886502,1044997.112,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,280.705473,7.31E-05,0.001819716,1082665.828,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,281.9173557,7.34E-05,0.001755967,1121105.986,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,283.1220645,7.38E-05,0.00169508,1160318.269,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,284.3196418,7.41E-05,0.001636891,1200303.2,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,285.5101299,7.44E-05,0.001581245,1241061.158,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,286.6935708,7.48E-05,0.001528001,1282592.379,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,287.870006,7.51E-05,0.001477023,1324896.97,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,289.0394772,7.55E-05,0.001428188,1367974.917,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,290.2020255,7.58E-05,0.001381379,1411826.094,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,291.357692,7.62E-05,0.001336487,1456450.272,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,292.5065173,7.66E-05,0.001293409,1501847.127,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,293.648542,7.69E-05,0.001252049,1548016.25,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,294.7838063,7.73E-05,0.001212318,1594957.157,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,295.9123502,7.77E-05,0.001174132,1642669.298,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,297.0342135,7.81E-05,0.001137411,1691152.063,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,298.1494358,7.85E-05,0.00110208,1740404.795,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,299.2580564,7.89E-05,0.00106807,1790426.799,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,300.3601143,7.93E-05,0.001035315,1841217.348,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,301.4556485,7.97E-05,0.001003753,1892775.699,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,302.5446974,8.01E-05,0.000973325,1945101.095,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,303.6272996,8.06E-05,0.000943976,1998192.78,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,304.7034931,8.10E-05,0.000915654,2052050.008,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,305.773316,8.14E-05,0.00088831,2106672.052,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,306.8368059,8.19E-05,0.000861897,2162058.216,1.635,20.369,5253881.331
R 1123,82.02,346.7339612,0.238,2,3,1,307.8940003,8.24E-05,0.000836371,2218207.843,1.635,20.369,5253881.331
